"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,46.330002,46.490002,46.27,46.419998,62822800,42.439438
2010-01-05,46.389999,46.5,46.16,46.419998,62935600,42.439438
2010-01-06,46.400002,46.549999,46.07,46.139999,96033000,42.183453
2010-01-07,46.209999,46.27,45.919998,46.169998,77094100,42.21088
2010-01-08,46.07,46.549999,45.93,46.549999,88886600,42.558292
2010-01-11,46.610001,46.639999,46.119999,46.360001,104673400,42.384594
2010-01-12,46.080002,46.139999,45.529999,45.779999,90673900,41.854324
2010-01-13,45.919998,46.490002,45.610001,46.349998,100661000,42.375439
2010-01-14,46.259998,46.52,46.220001,46.389999,75209000,42.41201
2010-01-15,46.470001,46.549999,45.650002,45.849998,126849300,41.918327
2010-01-19,45.959999,46.639999,45.950001,46.59,84388200,42.59486
2010-01-20,46.259998,46.599998,45.43,45.919998,145680000,41.982319
2010-01-21,46.049999,46.349998,45.299999,45.490002,204939600,41.589191
2010-01-22,45.34,45.48,44.040001,44.16,171098700,40.373238
2010-01-25,44.43,44.599998,44.119999,44.310001,154218700,40.510376
2010-01-26,44.259998,44.889999,44.049999,44.349998,140816500,40.546959
2010-01-27,44.27,44.849998,44.009998,44.700001,161632700,40.86694
2010-01-28,44.400002,44.43,43.32,43.549999,221439800,39.815548
2010-01-29,43.91,44.02,42.630001,42.790001,212099600,39.120735
2010-02-01,42.900002,43.279999,42.880001,43.259998,136827100,39.550415
2010-02-02,43.330002,43.779999,43.029999,43.650002,110727700,39.906979
2010-02-03,43.439999,43.970001,43.419998,43.889999,93581600,40.126396
2010-02-04,43.57,43.66,42.619999,42.619999,151652500,38.96529
2010-02-05,42.73,43.02,42.119999,42.98,213618600,39.29443
2010-02-08,42.91,43.18,42.639999,42.669998,94354400,39.011005
2010-02-09,43.18,43.509998,42.759998,43.110001,118956000,39.41328
2010-02-10,43.110001,43.310001,42.75,43.02,94102900,39.330997
2010-02-11,43.029999,43.790001,42.759998,43.669998,93050800,39.925255
2010-02-12,43.279999,43.880001,43.16,43.759998,93938500,40.007526
2010-02-16,44.080002,44.349998,43.849998,44.32,83861400,40.519531
2010-02-17,44.52,44.57,44.259998,44.57,82691700,40.748077
2010-02-18,44.540001,44.93,44.450001,44.849998,65752600,41.004074
2010-02-19,44.73,45.049999,44.619999,44.830002,80416500,40.98579
2010-02-22,45.009998,45.029999,44.560001,44.740002,72055000,40.903515
2010-02-23,44.709999,44.740002,43.950001,44.16,95814400,40.373238
2010-02-24,44.389999,44.790001,44.32,44.610001,86591000,40.784645
2010-02-25,44.139999,44.700001,43.830002,44.599998,97961300,40.775517
2010-02-26,44.59,44.860001,44.400002,44.759998,66222400,40.921791
2010-03-01,44.959999,45.490002,44.950001,45.41,77290100,41.516052
2010-03-02,45.57,45.849998,45.450001,45.549999,76368500,41.644039
2010-03-03,45.66,45.82,45.43,45.599998,65735500,41.689762
2010-03-04,45.630001,45.810001,45.400002,45.75,54470900,41.826897
2010-03-05,46.09,46.540001,45.990002,46.439999,68136300,42.457733
2010-03-08,46.459999,46.639999,46.439999,46.529999,58712400,42.540016
2010-03-09,46.43,47.049999,46.400002,46.790001,98002800,42.777718
2010-03-10,46.82,47.279999,46.799999,47.169998,102578900,43.125137
2010-03-11,47.060001,47.349998,46.98,47.349998,67510300,43.289692
2010-03-12,47.5,47.529999,47.099998,47.360001,64068300,43.298836
2010-03-15,47.259998,47.380001,46.91,47.240002,60150500,43.189137
2010-03-16,47.389999,47.610001,47.23,47.540001,74950600,43.463409
2010-03-17,47.610001,47.900002,47.529999,47.669998,75643500,43.582256
2010-03-18,47.709999,47.880001,47.599998,47.830002,77829400,43.728535
2010-03-19,47.919998,47.950001,47.32,47.490002,86337100,43.464031
2010-03-22,47.299999,48.110001,47.25,47.919998,71902800,43.857574
2010-03-23,47.990002,48.299999,47.77,48.25,59182600,44.159615
2010-03-24,48.169998,48.169998,47.91,48.02,62995700,43.949116
2010-03-25,48.419998,48.599998,47.900002,47.950001,76294800,43.885036
2010-03-26,48.150002,48.330002,47.740002,48,78067900,43.930798
2010-03-29,48.240002,48.400002,48.099998,48.23,57993300,44.1413
2010-03-30,48.380001,48.549999,48.060001,48.389999,49437300,44.287735
2010-03-31,48.240002,48.450001,48.07,48.16,59947400,44.077244
2010-04-01,48.360001,48.700001,47.790001,48.16,83728600,44.077244
2010-04-05,48.27,48.720001,48.139999,48.610001,56220300,44.489094
2010-04-06,48.5,48.900002,48.389999,48.75,54097100,44.617218
2010-04-07,48.68,48.869999,48.369999,48.630001,77211500,44.507397
2010-04-08,48.490002,48.82,48.240002,48.740002,68314300,44.608055
2010-04-09,48.75,49.049999,48.630001,49.029999,54227300,44.873474
2010-04-12,49.049999,49.200001,48.939999,49.07,44280600,44.910091
2010-04-13,49.02,49.349998,48.860001,49.32,59376000,45.138889
2010-04-14,49.580002,49.919998,49.5,49.91,69004800,45.678879
2010-04-15,49.869999,50.189999,49.869999,50.130001,72254200,45.880234
2010-04-16,49.950001,50.119999,49.200001,49.529999,127388000,45.331085
2010-04-19,49.349998,49.66,48.900002,49.5,98251700,45.303635
2010-04-20,49.77,49.880001,49.43,49.75,69543700,45.532436
2010-04-21,50.09,50.189999,49.720001,50.029999,74748700,45.788715
2010-04-22,49.549999,50.360001,49.259998,50.310001,110477200,46.044968
2010-04-23,50.299999,50.57,50.09,50.52,77205200,46.237164
2010-04-26,50.57,50.650002,50.299999,50.41,67361000,46.13649
2010-04-27,50.209999,50.43,49.209999,49.34,112608000,45.157196
2010-04-28,49.599998,49.630001,48.98,49.369999,130082100,45.184654
2010-04-29,49.650002,50.330002,49.610001,50.23,84180200,45.971748
2010-04-30,50.209999,50.290001,49.200001,49.240002,110897000,45.065685
2010-05-03,49.450001,50.169998,49.43,49.93,74169700,45.697178
2010-05-04,49.32,49.32,48.080002,48.43,141136500,44.324352
2010-05-05,47.919998,48.5,47.639999,48.18,128560200,44.095547
2010-05-06,47.849998,48.32,42.639999,46.57,274356800,42.622036
2010-05-07,46.220001,46.799999,44.279999,45.41,288200400,41.56036
2010-05-10,47.43,47.799999,47.310001,47.77,136041600,43.72031
2010-05-11,47.290001,48.389999,47.200001,47.720001,113016100,43.674534
2010-05-12,47.98,48.66,47.900002,48.619999,85462400,44.498245
2010-05-13,48.41,48.790001,47.73,47.849998,102844300,43.793514
2010-05-14,47.490002,47.52,46.380001,46.93,147386100,42.951511
2010-05-17,47.02,47.27,46.07,47.080002,120969600,43.088795
2010-05-18,47.48,47.580002,46.220001,46.43,153072100,42.493893
2010-05-19,46.259998,46.630001,45.549999,46.060001,159000300,42.15527
2010-05-20,45.16,45.279999,44.25,44.349998,189289800,40.590221
2010-05-21,43.66,45.639999,43.490002,44.84,190631100,41.038689
2010-05-24,44.82,45.330002,44.639999,44.66,113038000,40.873947
2010-05-25,43.68,44.759998,43.23,44.700001,155643000,40.910557
2010-05-26,45.009998,45.57,44.119999,44.200001,140203200,40.452938
2010-05-27,45.200001,45.889999,45.09,45.869999,110671600,41.981365
2010-05-28,45.950001,45.990002,45.200001,45.599998,128535300,41.734257
2010-06-01,45.43,46.25,45.130001,45.18,104242700,41.349873
2010-06-02,45.439999,46.279999,45.130001,46.25,97249300,42.329151
2010-06-03,46.380001,46.77,46.080002,46.689999,98928400,42.73185
2010-06-04,45.700001,46.290001,44.939999,45.09,112849900,41.267498
2010-06-07,45.32,45.459999,44.220001,44.27,88436600,40.517017
2010-06-08,44.349998,44.48,43.59,44.189999,133030100,40.44379
2010-06-09,44.5,44.91,43.689999,43.82,101949200,40.105156
2010-06-10,44.360001,45.119999,44.240002,45.07,76892300,41.249184
2010-06-11,44.610001,45.540001,44.610001,45.5,74346800,41.642731
2010-06-14,45.919998,46.240002,45.41,45.490002,68085000,41.633583
2010-06-15,45.73,46.77,45.450001,46.709999,76332600,42.750164
2010-06-16,46.580002,47.139999,46.5,46.900002,78399700,42.924049
2010-06-17,47.16,47.18,46.639999,47.049999,77111900,43.061333
2010-06-18,47.049999,47.34,46.860001,47,75921400,43.097107
2010-06-21,47.599998,47.68,46.330002,46.599998,95488100,42.730316
2010-06-22,46.799999,47.139999,46.150002,46.240002,94493400,42.400211
2010-06-23,46.290001,46.470001,45.689999,46.049999,92397600,42.22599
2010-06-24,45.849998,45.990002,45.200001,45.349998,114145900,41.58411
2010-06-25,45.509998,45.66,44.950001,45.27,88740300,41.592381
2010-06-28,45.27,45.549999,44.810001,45.110001,71350000,41.445377
2010-06-29,44.419998,44.459999,43.07,43.369999,136384200,39.846733
2010-06-30,43.23,43.669998,42.639999,42.709999,101313200,39.240356
2010-07-01,42.84,42.959999,41.77,42.59,158695000,39.130096
2010-07-02,42.66,42.82,42.09,42.470001,78565300,39.019848
2010-07-06,43.099998,43.369999,42.25,42.599998,88591900,39.13929
2010-07-07,42.740002,44.009998,42.700001,43.959999,72448400,40.388798
2010-07-08,44.310001,44.380001,43.68,44.200001,78264600,40.609314
2010-07-09,44.18,44.630001,44.080002,44.619999,47851200,40.99519
2010-07-12,44.580002,45.029999,44.459999,44.75,60927500,41.11462
2010-07-13,45.139999,45.5,44.799999,45.330002,93310500,41.647514
2010-07-14,45.419998,45.810001,45.240002,45.560001,87687100,41.858818
2010-07-15,45.470001,45.740002,44.990002,45.599998,95992500,41.895584
2010-07-16,45.439999,45.630001,44.299999,44.34,98831900,40.737946
2010-07-19,44.470001,44.810001,44.099998,44.720001,81800800,41.087063
2010-07-20,44,45.259998,43.860001,45.259998,89061200,41.583202
2010-07-21,45.740002,45.759998,44.560001,44.639999,83577000,41.013569
2010-07-22,45.27,45.98,45.240002,45.77,82890300,42.051773
2010-07-23,45.459999,46.099998,45.380001,46.060001,81056100,42.318207
2010-07-26,46.119999,46.459999,45.91,46.439999,64850900,42.667336
2010-07-27,46.639999,46.720001,46.209999,46.419998,67655600,42.648968
2010-07-28,46.369999,46.580002,45.880001,46.049999,51988200,42.309017
2010-07-29,46.32,46.41,45.25,45.709999,85669500,41.996635
2010-07-30,45.330002,46.09,45.07,45.810001,98958100,42.088516
2010-08-02,46.389999,46.790001,46.209999,46.669998,68706800,42.878647
2010-08-03,46.639999,46.700001,46.25,46.470001,60856600,42.694904
2010-08-04,46.68,46.990002,46.5,46.939999,43820600,43.126717
2010-08-05,46.709999,46.919998,46.52,46.830002,39150200,43.025661
2010-08-06,46.32,46.849998,46.049999,46.759998,71339200,42.96133
2010-08-09,47,47.189999,46.790001,47.080002,26927600,43.255341
2010-08-10,46.700001,46.950001,46.279999,46.669998,86694500,42.878647
2010-08-11,45.900002,45.919998,45.209999,45.400002,92219700,41.711815
2010-08-12,44.529999,45.240002,44.450001,45.040001,66000200,41.381069
2010-08-13,44.869999,45.060001,44.709999,44.720001,46387300,41.087063
2010-08-16,44.5,45.110001,44.299999,44.799999,55472900,41.160564
2010-08-17,45.119999,45.779999,45.029999,45.369999,56927100,41.684258
2010-08-18,45.279999,45.82,45.110001,45.549999,61835400,41.849636
2010-08-19,45.279999,45.459999,44.560001,44.860001,82969500,41.215691
2010-08-20,44.790001,45.029999,44.540001,44.919998,65806700,41.270821
2010-08-23,45.200001,45.34,44.459999,44.48,69612200,40.866558
2010-08-24,43.970001,44.119999,43.470001,43.650002,79095800,40.103977
2010-08-25,43.34,44.259998,43.27,44.07,87247900,40.489861
2010-08-26,44.220001,44.32,43.5,43.540001,91199000,40.002934
2010-08-27,43.860001,44.16,42.970001,44.07,109568800,40.489861
2010-08-30,43.860001,44.25,43.599998,43.610001,49373200,40.067242
2010-08-31,43.380001,43.849998,43.18,43.459999,72066900,39.929417
2010-09-01,44.099998,44.91,44.07,44.759998,83523100,41.12381
2010-09-02,44.84,45.279999,44.73,45.259998,41816800,41.583202
2010-09-03,45.759998,46.02,45.549999,46.009998,64041100,42.272266
2010-09-07,45.82,46.029999,45.630001,45.700001,51195200,41.987461
2010-09-08,45.830002,46.450001,45.82,46.25,66879800,42.492775
2010-09-09,46.66,46.700001,46.32,46.43,61476400,42.658165
2010-09-10,46.48,46.669998,46.25,46.599998,66995700,42.814327
2010-09-13,46.959999,47.369999,46.939999,47.25,64523400,43.411541
2010-09-14,47.189999,47.700001,47.080002,47.450001,91405800,43.595295
2010-09-15,47.330002,47.799999,47.189999,47.75,67108200,43.870918
2010-09-16,47.66,47.98,47.540001,47.939999,66885800,44.045483
2010-09-17,48.139999,48.139999,47.75,47.990002,76372600,44.194683
2010-09-20,48.169998,48.93,48.110001,48.830002,84475000,44.968246
2010-09-21,48.860001,49.169998,48.610001,48.82,82272000,44.959023
2010-09-22,48.619999,49.02,48.419998,48.689999,88315900,44.839294
2010-09-23,48.369999,49.16,48.32,48.669998,85040000,44.820885
2010-09-24,49.220001,49.689999,49.150002,49.66,79495900,45.732597
2010-09-27,49.630001,49.75,49.349998,49.389999,43859800,45.483948
2010-09-28,49.509998,49.540001,48.59,49.369999,104922900,45.46553
2010-09-29,49.299999,49.529999,49.110001,49.290001,81679200,45.391865
2010-09-30,49.540001,49.84,48.75,49.07,122458600,45.189255
2010-10-01,49.48,49.529999,48.779999,49.009998,77675400,45.134007
2010-10-04,48.869999,49.049999,48.200001,48.48,71359900,44.645924
2010-10-05,49.029999,49.759998,49,49.66,99301300,45.732597
2010-10-06,49.599998,49.709999,48.91,49.23,81831200,45.336605
2010-10-07,49.509998,49.540001,49,49.41,75693300,45.502369
2010-10-08,49.43,49.869999,49.080002,49.75,83223900,45.815479
2010-10-11,49.779999,50.02,49.619999,49.77,46880000,45.833885
2010-10-12,49.689999,50.209999,49.259998,50.110001,88571700,46.147007
2010-10-13,50.43,50.75,50.279999,50.52,71122900,46.52459
2010-10-14,50.549999,50.639999,50.169998,50.419998,68464000,46.432491
2010-10-15,51.040001,51.5,50.630001,51.490002,104654000,47.417862
2010-10-18,51.5,51.720001,51.299999,51.299999,72399400,47.242901
2010-10-19,50.82,51.299999,50.419998,50.82,105739800,46.800854
2010-10-20,50.959999,51.57,50.869999,51.189999,80861400,47.141598
2010-10-21,51.509998,51.709999,50.790001,51.290001,85885400,47.233681
2010-10-22,51.299999,51.689999,51.209999,51.639999,47406900,47.556007
2010-10-25,51.849998,52.23,51.849998,51.889999,51413900,47.78624
2010-10-26,51.630001,52.150002,51.419998,52.029999,60498300,47.915165
2010-10-27,51.759998,52.23,51.66,52.189999,57483400,48.062511
2010-10-28,52.41,52.450001,51.84,52.299999,61220000,48.163811
2010-10-29,52.299999,52.490002,52.169998,52.18,46668700,48.053295
2010-11-01,52.369999,52.75,51.98,52.220001,60555600,48.090137
2010-11-02,52.650002,52.93,52.580002,52.779999,48137500,48.605846
2010-11-03,52.830002,53.040001,52.360001,53.02,126225800,48.826878
2010-11-04,53.599998,53.860001,53.5,53.669998,84201000,49.425468
2010-11-05,53.700001,53.810001,53.509998,53.669998,77937100,49.425468
2010-11-08,53.580002,53.830002,53.450001,53.740002,39623500,49.489937
2010-11-09,53.950001,54.040001,53.209999,53.450001,66828700,49.222851
2010-11-10,53.52,53.77,53.099998,53.720001,83553700,49.471508
2010-11-11,52.91,53.48,52.66,53.380001,85163600,49.158398
2010-11-12,53.099998,53.369999,52.110001,52.509998,99164300,48.357201
2010-11-15,52.779999,52.880001,52.290001,52.310001,56723400,48.173016
2010-11-16,51.939999,52.25,50.849998,51.450001,101097000,47.381023
2010-11-17,51.48,51.869999,51.349998,51.599998,77836200,47.519161
2010-11-18,52.16,52.790001,52.130001,52.43,71488300,48.283531
2010-11-19,52.360001,52.59,52.139999,52.470001,54506100,48.320358
2010-11-22,52.259998,52.91,52.169998,52.91,69918900,48.725567
2010-11-23,52.369999,52.450001,51.77,52.07,76818300,47.952003
2010-11-24,52.580002,53.25,52.560001,53.119999,53444200,48.918961
2010-11-26,52.779999,53.130001,52.669998,52.77,23640300,48.596638
2010-11-29,52.700001,52.900002,52.099998,52.73,89269100,48.559799
2010-11-30,52.18,52.740002,51.880001,52.09,118862100,47.970413
2010-12-01,52.860001,53.459999,52.84,53.189999,81758800,48.983414
2010-12-02,53.27,53.810001,53.209999,53.73,56844600,49.480717
2010-12-03,53.5,53.939999,53.5,53.869999,38014200,49.609646
2010-12-06,53.880001,53.950001,53.68,53.849998,39312000,49.591221
2010-12-07,54.5,54.52,53.82,53.880001,59067300,49.618851
2010-12-08,54.02,54.150002,53.689999,54.080002,48066900,49.80304
2010-12-09,54.41,54.439999,53.950001,54.130001,51679800,49.849079
2010-12-10,54.290001,54.549999,54.09,54.490002,44696200,50.180618
2010-12-13,54.700001,54.740002,54.27,54.299999,53110200,50.005638
2010-12-14,54.439999,54.619999,54.23,54.400002,69884800,50.097733
2010-12-15,54.369999,54.700001,54.029999,54.16,76951900,49.876713
2010-12-16,54.209999,54.66,54.060001,54.580002,65519400,50.263489
2010-12-17,54.540001,54.68,54.41,54.52,36844200,50.307789
2010-12-20,54.619999,54.759998,54.16,54.560001,48159600,50.344696
2010-12-21,54.77,54.889999,54.619999,54.889999,35775400,50.6492
2010-12-22,54.869999,54.959999,54.790001,54.880001,35766500,50.639992
2010-12-23,54.779999,54.869999,54.610001,54.740002,21664800,50.510788
2010-12-27,54.580002,54.860001,54.209999,54.77,29263700,50.53846
2010-12-28,54.880001,54.919998,54.549999,54.669998,24160500,50.446194
2010-12-29,54.82,54.900002,54.73,54.790001,24132700,50.556923
2010-12-30,54.790001,54.799999,54.549999,54.66,27553300,50.436981
2010-12-31,54.59,54.619999,54.209999,54.459999,38540100,50.25243
2011-01-03,54.970001,55.689999,54.950001,55.310001,90994300,51.036751
2011-01-04,55.509998,55.549999,54.919998,55.27,43851500,50.999844
2011-01-05,55.099998,55.759998,55.07,55.740002,43787400,51.433533
2011-01-06,55.799999,55.959999,55.68,55.919998,46139600,51.599625
2011-01-07,56.02,56.049999,55.32,55.869999,72261700,51.553482
2011-01-10,55.75,56.18,55.580002,56.080002,55551800,51.747261
2011-01-11,56.310001,56.360001,55.950001,56.16,56663800,51.821079
2011-01-12,56.43,56.560001,56.200001,56.560001,51979300,52.190178
2011-01-13,56.599998,56.73,56.41,56.580002,47364500,52.208626
2011-01-14,56.599998,57.02,56.459999,57,43867400,52.596184
2011-01-18,56.57,57.23,56.490002,57.16,65805600,52.74382
2011-01-19,57.259998,57.259998,56.32,56.509998,67767200,52.144035
2011-01-20,56.27,56.349998,55.68,56.110001,92357800,51.77494
